Country,"Density
(P/Km2)",Agricultural Land( %),Land Area(Km2),Birth Rate,Co2-Emissions,CPI,CPI Change (%),Fertility Rate,Forested Area (%),Gasoline Price,GDP,Infant mortality,Life expectancy,Minimum wage,Physicians per thousand,Population,Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude,GDP_formatted,Tax_revenue_formatted,Unemployment_rate_formatted,Life_expectancy_formatted
Cambodia,95,30.90%,"181,035",22.46,"9,919",127.63,2.50%,2.5,52.90%,$0.90 ,"$27,089,389,787 ",24,69.6,$5.10 ,0.17,"16,486,542",17.10%,23.10%,0.68%,"3,924,621",12.565679,104.990963,0.001264223,0.456,0.024130589,0.799868527
Cameroon,56,20.60%,"475,440",35.39,"8,291",118.65,2.50%,4.57,39.30%,$1.03 ,"$38,760,467,033 ",50.6,58.9,$0.35 ,0.09,"25,876,380",12.80%,57.70%,3.38%,"14,741,256",7.369722,12.354722,0.001808895,0.341333333,0.119943222,0.676900234
Canada,4,6.90%,"9,984,670",10.1,"544,894",116.76,1.90%,1.5,38.20%,$0.81 ,"$1,736,425,629,520 ",4.3,81.9,$9.51 ,2.61,"36,991,981",12.80%,24.50%,5.56%,"30,628,482",56.130366,-106.346771,0.081036492,0.341333333,0.197303052,0.941224603
Central African Republic,8,8.20%,"622,984",35.35,297,186.86,37.10%,4.72,35.60%,$1.41 ,"$2,220,307,369 ",84.5,52.8,$0.37 ,0.06,"4,745,185",8.60%,73.30%,3.68%,"1,982,064",6.611111,20.939444,0.000103619,0.229333333,0.13058907,0.606796814
Chad,13,39.70%,"1,284,000",42.17,"1,016",117.7,-1.00%,5.75,3.80%,$0.78 ,"$11,314,951,343 ",71.4,54,$0.60 ,0.04,"15,946,876",10%,63.50%,1.89%,"3,712,273",15.454166,18.732207,0.000528053,0.266666667,0.067068843,0.620587651
Chile,26,21.20%,"756,096",12.43,"85,822",131.91,2.60%,1.65,24.30%,$1.03 ,"$282,318,159,745 ",6.2,80,$2.00 ,2.59,"18,952,038",18.20%,34.00%,7.09%,"16,610,135",-35.675147,-71.542969,0.013175383,0.485333333,0.251596877,0.919389112
China,153,56.20%,"9,596,960",10.9,"9,893,038",125.08,2.90%,1.69,22.40%,$0.96 ,"$19,910,000,000,000 ",7.4,77,$0.87 ,1.98,"1,397,715,000",9.40%,59.20%,4.32%,"842,933,962",35.86166,104.195397,0.92917112,0.250666667,0.153300213,0.88491202
Colombia,46,40.30%,"1,138,910",14.88,"97,814",140.95,3.50%,1.81,52.70%,$0.68 ,"$323,802,808,108 ",12.2,77.1,$1.23 ,2.18,"50,339,443",14.40%,71.20%,9.71%,"40,827,302",4.570868,-74.297333,0.015111412,0.384,0.344570617,0.886061257
Comoros,467,71.50%,"2,235",31.88,202,103.62,-4.30%,4.21,19.70%,$0 ,"$1,185,728,677 ",51.3,64.1,$0.71 ,0.27,"850,886",,219.60%,4.34%,"248,152",-11.6455,43.3333,5.53E-05,,0.154009936,0.736660526
Republic of the Congo,16,31.10%,"342,000",32.86,"3,282",124.74,2.20%,4.43,65.40%,$0.97 ,"$10,820,591,131 ",36.2,64.3,$0.88 ,0.12,"5,380,508",9.00%,54.30%,9.47%,"3,625,010",-0.228021,15.827659,0.000504981,0.24,0.336053939,0.738958999
Costa Rica,100,34.50%,"51,100",13.97,"8,023",128.85,2.10%,1.75,54.60%,$0.98 ,"$61,773,944,174 ",7.6,80.1,$1.84 ,2.89,"5,047,561",13.60%,58.30%,11.85%,"4,041,885",9.748917,-83.753428,0.002882901,0.362666667,0.420511001,0.920538348
Croatia,73,27.60%,"56,594",9,"17,488",109.82,0.80%,1.47,34.40%,$1.26 ,"$60,415,553,039 ",4,78.1,$2.92 ,3,"4,067,500",22.00%,20.50%,6.93%,"2,328,318",45.1,15.2,0.002819507,0.586666667,0.245919092,0.89755362
Cuba,106,59.90%,"110,860",10.17,"28,284",,3.21%,1.62,31.30%,$1.40 ,"$100,023,000,000 ",3.7,78.7,$0.05 ,8.42,"11,333,483",37.50%,22%,1.64%,"8,739,135",21.521757,-77.781167,0.00466793,1,0.058197303,0.904449039
Cyprus,131,12.20%,"9,251",10.46,"6,626",102.51,0.30%,1.33,18.70%,$1.23 ,"$24,564,647,935 ",1.9,80.8,$25.18 ,1.95,"1,198,575",24.50%,22.40%,7.27%,"800,708",35.126413,33.429859,0.001146397,0.653333333,0.257984386,0.928583003
Czech Republic,139,45.20%,"78,867",10.7,"102,218",116.48,2.80%,1.69,34.60%,$1.17 ,"$246,489,245,495 ",2.7,79,$3.00 ,4.12,"10,669,709",14.90%,46.10%,1.93%,"7,887,156",49.817492,15.472962,0.011503299,0.397333333,0.06848829,0.907896748
Democratic Republic of the Congo,40,11.60%,"2,344,858",41.18,"2,021",133.85,2.90%,5.92,67.20%,$1.49 ,"$47,319,624,204 ",68.2,60.4,$0.18 ,0.07,"86,790,567",10.70%,50.70%,4.24%,"39,095,679",-4.038333,21.758664,0.002208339,0.285333333,0.15046132,0.694138779
Denmark,137,62.00%,"43,094",10.6,"31,786",110.35,0.80%,1.73,14.70%,$1.55 ,"$348,078,018,464 ",3.6,81,$15.97 ,4.01,"5,818,553",32.40%,23.80%,4.91%,"5,119,978",56.26392,9.501785,0.016244301,0.864,0.174237048,0.930881476
Djibouti,43,73.40%,"23,200",21.47,620,120.25,3.30%,2.73,0.20%,$1.32 ,"$3,318,716,359 ",49.8,66.6,$4.88 ,0.22,"973,560",1.00%,37.90%,10.30%,"758,549",11.825138,42.590275,0.00015488,0.026666667,0.365507452,0.765391436
Dominica,96,33.30%,751,12,180,103.87,1.00%,1.9,57.40%,$1.13 ,"$596,033,333 ",32.9,76.6,$1.48 ,1.08,"71,808",22.10%,32.60%,11.00%,"50,830",15.414999,-61.370976,2.78E-05,0.589333333,0.390347764,0.880315075
Dominican Republic,225,48.70%,"48,670",19.51,"25,258",135.5,1.80%,2.35,41.70%,$1.07 ,"$88,941,298,258 ",24.1,73.9,$0.40 ,1.56,"10,738,958",13.00%,48.80%,5.84%,"8,787,475",18.735693,-70.162651,0.004150763,0.346666667,0.207239177,0.849285692
Ecuador,71,22.20%,"283,561",19.72,"41,155",124.14,0.30%,2.43,50.20%,$0.61 ,"$107,435,665,000 ",12.2,76.8,$2.46 ,2.04,"17,373,662",10.90%,34.40%,3.97%,"11,116,711",-1.831239,-78.183406,0.005013868,0.290666667,0.140880057,0.882613547
Egypt,103,3.80%,"1,001,450",26.38,"238,560",288.57,9.20%,3.33,0.10%,$0.40 ,"$303,175,127,598 ",18.1,71.8,$0.56 ,0.45,"100,388,073",12.50%,44.40%,10.76%,"42,895,824",26.820553,30.802498,0.014148748,0.333333333,0.381831086,0.825151728
El Salvador,313,76.40%,"21,041",18.25,"7,169",111.23,0.10%,2.04,12.60%,$0.83 ,"$27,022,640,000 ",11.8,73.1,$0.50 ,1.57,"6,453,553",18.10%,36.40%,4.11%,"4,694,702",13.794185,-88.89653,0.001261108,0.482666667,0.145848119,0.840091801
Equatorial Guinea,50,10.10%,"28,051",33.24,"5,655",124.35,1.20%,4.51,55.50%,$1.39 ,"$11,026,774,945 ",62.6,58.4,$1.05 ,0.4,"1,355,986",6.10%,79.40%,6.43%,"984,812",1.650801,10.267895,0.000514604,0.162666667,0.228176011,0.671154052
Eritrea,35,75.20%,"117,600",30.3,711,113.22,,4.06,14.90%,$2.00 ,"$2,065,001,626 ",31.3,65.9,$0.50 ,0.06,"6,333,135",,83.70%,5.14%,"1,149,670",15.179384,39.782334,9.64E-05,,0.182398864,0.757346781
Estonia,31,23.10%,"45,228",10.9,"16,590",122.14,2.30%,1.59,51.30%,$1.14 ,"$31,386,949,981 ",2.1,78.2,$3.14 ,4.48,"1,331,824",20.90%,47.80%,5.11%,"916,024",58.595272,25.013607,0.001464784,0.557333333,0.18133428,0.898702857
Eswatini,67,69.50%,"17,364",22.8,1368512,116,4.87%,2.803,31.70%,$1.08 ,"$3,791,304,348 ",34.993,61.05,$9.68 ,0.1,"1,093,238",28.60%,33%,24.66%,24.80%,-26.522503,31.465866,0.000176935,0.762666667,0.875088715,0.701608816
Ethiopia,115,36.30%,"1,104,300",32.34,"14,870",143.86,15.80%,4.25,12.50%,$0.75 ,"$96,107,662,398 ",39.1,66.2,$0.05 ,0.08,"112,078,730",7.50%,37.70%,2.08%,"23,788,710",9.145,40.489673,0.004485207,0.2,0.073811214,0.76079449
Fiji,49,23.30%,"18,274",21.28,"2,046",132.3,1.80%,2.77,55.90%,$0.82 ,"$5,535,548,972 ",21.6,67.3,$1.28 ,0.84,"889,953",24.20%,32.10%,4.10%,"505,048",-17.713371,178.065032,0.000258336,0.645333333,0.145493258,0.77343609
Finland,18,7.50%,"338,145",8.6,"45,871",112.33,1.00%,1.41,73.10%,$1.45 ,"$268,761,201,365 ",1.4,81.7,$13.74 ,3.81,"5,520,314",20.80%,36.60%,6.59%,"4,716,888",61.92411,25.748151,0.012542699,0.554666667,0.233853797,0.938926131
France,119,52.40%,"643,801",11.3,"303,276",110.05,1.10%,1.88,31.20%,$1.39 ,"$2,715,518,274,227 ",3.4,82.5,$11.16 ,3.27,"67,059,887",24.20%,60.70%,8.43%,"54,123,364",46.227638,2.213749,0.12672934,0.645333333,0.299148332,0.948120022
Gabon,9,20.00%,"267,667",31.61,"5,321",122.19,2.10%,3.97,90.00%,$0.92 ,"$16,657,960,228 ",32.7,66.2,$1.46 ,0.68,"2,172,579",10.20%,47.10%,20.00%,"1,949,694",-0.803689,11.609444,0.000777403,0.272,0.709723208,0.76079449
The Gambia,239,59.80%,"11,300",38.54,532,172.73,7.10%,5.22,48.40%,$1.18 ,"$1,763,819,048 ",39,61.7,$0.13 ,0.1,"2,347,706",9.40%,48.40%,9.06%,"1,453,958",13.443182,-15.310139,8.23E-05,0.250666667,0.321504613,0.709078853
Georgia,57,34.50%,"69,700",13.47,"10,128",133.61,4.90%,2.06,40.60%,$0.76 ,"$17,743,195,770 ",8.7,73.6,$0.05 ,7.12,"3,720,382",21.70%,9.90%,14.40%,"2,196,476",42.315407,43.356892,0.000828049,0.578666667,0.51100071,0.845837983
Germany,240,47.70%,"357,022",9.5,"727,973",112.85,1.40%,1.56,32.70%,$1.39 ,"$3,845,630,030,824 ",3.1,80.9,$9.99 ,4.25,"83,132,799",11.50%,48.80%,3.04%,"64,324,835",51.165691,10.451526,0.179470033,0.306666667,0.107877928,0.929732239
Ghana,137,69.00%,"238,533",29.41,"16,670",268.36,7.20%,3.87,41.20%,$0.92 ,"$66,983,634,224 ",34.9,63.8,$0.27 ,0.14,"30,792,608",12.60%,55.40%,4.33%,"17,249,054",7.946527,-1.023194,0.00312603,0.336,0.153655075,0.733212817
Greece,81,47.60%,"131,957",8.1,"62,434",101.87,0.20%,1.35,31.70%,$1.54 ,"$209,852,761,469 ",3.6,81.3,$4.46 ,5.48,"10,716,322",26.20%,51.90%,17.24%,"8,507,474",39.074208,21.824312,0.009793527,0.698666667,0.611781405,0.934329185
Grenada,331,23.50%,349,16.47,268,107.43,0.80%,2.06,50.00%,$1.12 ,"$1,228,170,370 ",13.7,72.4,$2.78 ,1.41,"112,003",19.40%,47.80%,12.00%,"40,765",12.1165,-61.679,5.73E-05,0.517333333,0.425833925,0.832047146
Guatemala,167,36.00%,"108,889",24.56,"16,777",142.92,3.70%,2.87,32.70%,$0.79 ,"$76,710,385,880 ",22.1,74.1,$1.60 ,0.35,"16,604,026",10.60%,35.20%,2.46%,"8,540,945",15.783471,-90.230759,0.003579964,0.282666667,0.087295955,0.851584165
Guinea,53,59.00%,"245,857",36.36,"2,996",262.95,9.50%,4.7,25.80%,$0.90 ,"$13,590,281,809 ",64.9,61.2,$0.40 ,0.08,"12,771,246",10.80%,69.30%,4.30%,"4,661,505",9.945587,-9.696645,0.000634239,0.288,0.15259049,0.703332671
Guinea-Bissau,70,58.00%,"36,125",35.13,293,111.65,1.40%,4.48,69.80%,$1 ,"$1,340,389,411 ",54,58,$0.16 ,0.13,"1,920,922",10.30%,45.50%,2.47%,"840,922",11.803749,-15.180413,6.26E-05,0.274666667,0.087650816,0.666557106
Guyana,4,8.60%,"214,969",19.97,"2,384",116.19,2.10%,2.46,83.90%,$0.90 ,"$4,280,443,645 ",25.1,69.8,$0.98 ,0.8,"782,766",,30.60%,11.85%,"208,912",4.860416,-58.93018,0.000199762,,0.420511001,0.802167
Haiti,414,66.80%,"27,750",24.35,"2,978",179.29,12.50%,2.94,3.50%,$0.81 ,"$8,498,981,821 ",49.5,63.7,$0.25 ,0.23,"11,263,077",16.80%,42.70%,13.78%,"6,328,948",18.971187,-72.285215,0.000396635,0.448,0.48899929,0.73206358
Vatican City,"2,003",0.00%,0.49,7.39,225,,3.40%,1,0%,$0 ,"$21,200,000 ",1.76,84.16,$7.67 ,77.6,836,,0%,0%,100%,41.902916,12.453389,9.89E-07,,0,0.967197346
Honduras,89,28.90%,"112,090",21.6,"9,813",150.34,4.40%,2.46,40.00%,$0.98 ,"$25,095,395,475 ",15.1,75.1,$1.01 ,0.31,"9,746,117",17.30%,39.10%,5.39%,"5,626,433",15.199999,-86.241905,0.001171166,0.461333333,0.191270405,0.863076529
Hungary,107,58.40%,"93,028",9.6,"45,537",121.64,3.30%,1.54,22.90%,$1.18 ,"$160,967,157,504 ",3.6,75.8,$2.62 ,3.41,"9,769,949",23.00%,37.90%,3.40%,"6,999,582",47.162494,19.503304,0.007512106,0.613333333,0.120652945,0.871121184
Iceland,3,18.70%,"103,000",12,"2,065",129,3.00%,1.71,0.50%,$1.69 ,"$24,188,035,739 ",1.5,82.7,$10.99 ,4.08,"361,313",23.30%,31.90%,2.84%,"339,110",64.963051,-19.020835,0.001128821,0.621333333,0.100780696,0.950418494
India,464,60.40%,"3,287,263",17.86,"2,407,672",180.44,7.70%,2.22,23.80%,$0.97 ,"$2,611,000,000,000 ",29.9,69.4,$0.30 ,0.86,"1,366,417,754",11.20%,49.70%,5.36%,"471,031,528",20.593684,78.96288,0.121851622,0.298666667,0.19020582,0.797570055
Indonesia,151,31.50%,"1,904,569",18.07,"563,325",151.18,3.00%,2.31,49.90%,$0.63 ,"$1,119,190,780,753 ",21.1,71.5,$0.48 ,0.43,"270,203,917",10.20%,30.10%,4.69%,"151,509,724",-0.789275,113.921327,0.052231027,0.272,0.166430092,0.821704019
Iran,52,28.20%,"1,648,195",18.78,"661,710",550.93,39.90%,2.14,6.60%,$0.40 ,"$445,345,282,123 ",12.4,76.5,$1.58 ,1.58,"82,913,906",7.40%,44.70%,11.38%,"62,509,623",32.427908,53.688046,0.020783625,0.197333333,0.403832505,0.879165838
Iraq,93,21.40%,"438,317",29.08,"190,061",119.86,0.40%,3.67,1.90%,$0.61 ,"$234,094,042,939 ",22.5,70.5,$1.24 ,0.71,"39,309,783",2.00%,30.80%,12.82%,"27,783,368",33.223191,43.679291,0.010924833,0.053333333,0.454932576,0.810211655
Republic of Ireland,72,64.50%,"70,273",12.5,"37,711",106.58,0.90%,1.75,11.00%,$1.37 ,"$388,698,711,348 ",3.1,82.3,$10.79 ,3.31,"5,007,069",18.30%,26.10%,4.93%,"3,133,123",53.41291,-8.24389,0.018140011,0.488,0.174946771,0.945821549
Israel,400,24.60%,"20,770",20.8,"65,166",108.15,0.80%,3.09,7.70%,$1.57 ,"$395,098,666,122 ",3,82.8,$7.58 ,4.62,"9,053,300",23.10%,25.30%,3.86%,"8,374,393",31.046051,34.851612,0.018438688,0.616,0.136976579,0.951567731
Italy,206,43.20%,"301,340",7.3,"320,411",110.62,0.60%,1.29,31.80%,$1.61 ,"$2,001,244,392,042 ",2.6,82.9,$10.60 ,3.98,"60,297,396",24.30%,59.10%,9.89%,"42,651,966",41.87194,12.56738,0.093395203,0.648,0.350958126,0.952716967
Jamaica,273,41.00%,"10,991",16.1,"8,225",162.47,3.90%,1.98,30.90%,$1.11 ,"$16,458,071,068 ",12.4,74.4,$1.33 ,1.31,"2,948,279",26.80%,35.10%,8.00%,"1,650,594",18.109581,-77.297508,0.000768075,0.714666667,0.283889283,0.855031874
Japan,347,12.30%,"377,944",7.4,"1,135,886",105.48,0.50%,1.42,68.50%,$1.06 ,"$5,081,769,542,380 ",1.8,84.2,$6.77 ,2.41,"126,226,568",11.90%,46.70%,2.29%,"115,782,416",36.204824,138.252924,0.23715889,0.317333333,0.081263307,0.96765704
Jordan,115,12.00%,"89,342",21.98,"25,108",125.6,0.80%,2.76,1.10%,$1.10 ,"$43,743,661,972 ",13.9,74.4,$1.49 ,2.32,"10,101,694",15.10%,28.60%,14.72%,"9,213,048",30.585164,36.238414,0.002041454,0.402666667,0.522356281,0.855031874
Kazakhstan,7,80.40%,"2,724,900",21.77,"247,207",182.75,5.20%,2.84,1.20%,$0.42 ,"$180,161,741,180 ",8.8,73.2,$0.41 ,3.25,"18,513,930",11.70%,28.40%,4.59%,"10,652,915",48.019573,66.923684,0.00840789,0.312,0.162881476,0.841241037
Kenya,94,48.50%,"580,367",28.75,"17,910",180.51,4.70%,3.49,7.80%,$0.95 ,"$95,503,088,538 ",30.6,66.3,$0.25 ,0.16,"52,573,973",15.10%,37.20%,2.64%,"14,461,523",-0.023559,37.906193,0.004456992,0.402666667,0.093683463,0.761943726
Kiribati,147,42.00%,811,27.89,66,99.55,0.60%,3.57,15.00%,$1.32 ,"$194,647,202 ",41.2,68.1,$1.99 ,0.2,"117,606",22.00%,32.70%,10.97%,"64,489",1.8368976,-157.3768317,9.08E-06,0.586666667,0.38928318,0.782629982
Kuwait,240,8.40%,"17,818",13.94,"98,734",126.6,1.10%,2.08,0.40%,$0.35 ,"$134,761,198,946 ",6.7,75.4,$0.95 ,2.58,"4,207,083",1.40%,13.00%,2.18%,"4,207,083",29.31166,47.481766,0.006289112,0.037333333,0.07735983,0.866524238
Kyrgyzstan,34,55.00%,"199,951",27.1,"9,787",155.68,1.10%,3.3,3.30%,$0.56 ,"$8,454,619,608 ",16.9,71.4,$0.09 ,1.88,"6,456,900",18.00%,29.00%,6.33%,"2,362,644",41.20438,74.766098,0.000394565,0.48,0.224627395,0.820554782
Laos,32,10.30%,"236,800",23.55,"17,763",135.87,3.30%,2.67,82.10%,$0.93 ,"$18,173,839,128 ",37.6,67.6,$0.83 ,0.37,"7,169,455",12.90%,24.10%,0.63%,"2,555,552",19.85627,102.495496,0.000848147,0.344,0.022356281,0.7768838
